song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Running to the Sea,2020-07-01T13:35:52Z,4:54,37,9,https://open.spotify.com/track/2QFdSwZc620pvS0tNtJHPV,https://p.scdn.co/mp3-preview/16172d9f56b2947e5abb10327c491f39772ad2fc?cid=2490920ce5574a1a9b97a3e366c39dd3,The Inevitable End,2014-11-10,17,https://i.scdn.co/image/ab67616d00001e02964b2a68a45f1718e230bab9,https://open.spotify.com/album/6q1uOMg6OEgMPMAfajpPTF,Röyksopp,https://open.spotify.com/artist/5nPOO9iTcrs9k6yFffPxjH
Runnin' (Lose It All),2020-05-02T08:42:19Z,3:33,66,1,https://open.spotify.com/track/5yZvaUVyuXfSVUaMumFi6l,,Runnin' (Lose It All),2015-09-17,1,https://i.scdn.co/image/ab67616d00001e02c24dcf24b68739638e3231bd,https://open.spotify.com/album/2YnYgyx7N8MkgQHCcRYfKP,Naughty Boy,https://open.spotify.com/artist/1bT7m67vi78r2oqvxrP3X5
No Roots,2020-05-02T08:05:08Z,3:55,0,1,https://open.spotify.com/track/7anBA0IdgFaN3Pbyk2tog0,,No Roots,2017-08-04,1,https://i.scdn.co/image/ab67616d00001e02d56a44477dffbb1fe29dde71,https://open.spotify.com/album/56z3cgNHKHNyAnbZUua1J3,Alice Merton,https://open.spotify.com/artist/7f0OLhGgBMX9fUjm1dcPip
Standing Next To Me,2020-05-02T08:05:01Z,2:18,24,2,https://open.spotify.com/track/5Yo7EKacdJJF30Kb1YEots,,The Age Of The Understatement,2008-01-01,12,https://i.scdn.co/image/ab67616d00001e02b7ca0fd108a57c36d381867e,https://open.spotify.com/album/3wKnLgxCmFr7vl3izFVTDM,The Last Shadow Puppets,https://open.spotify.com/artist/2Z7UcsdweVlRbAk5wH5fsf
Let's Fall in Love for the Night,2020-05-02T08:04:52Z,3:10,79,1,https://open.spotify.com/track/7kQkmyoHCEqwe7QwDbkSXM,https://p.scdn.co/mp3-preview/6c4c568b6c1e8c86ea51333fcf8a1b30d02b4810?cid=2490920ce5574a1a9b97a3e366c39dd3,Let’s Fall In Love For The Night,2018-10-19,1,https://i.scdn.co/image/ab67616d00001e02b226999f1df0dcdec8a53abe,https://open.spotify.com/album/3LONldJV06J1AHEph6lopK,FINNEAS,https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX
Shallow,2018-12-25T16:26:18Z,3:35,85,12,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,2018-10-05,34,https://i.scdn.co/image/ab67616d00001e02e2d156fdc691f57900134342,https://open.spotify.com/album/4sLtOBOzn4s3GDUv3c5oJD,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
