track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
0YCWBYMpAKoqeKQkXXFlXq,8,0,3,312060,130.106,0.343,0.183,-15.982,0.0338,0.965,0.881,0.112,0.167
0ZiQeKFAdlG64dLKtjOknC,7,0,3,146287,150.291,0.185,0.378,-16.924,0.0448,0.958,0.804,0.164,0.638
0koiXXm7z0TtvyRiqrkZdM,11,0,4,172680,121.012,0.56,0.329,-12.922,0.0421,0.403,0,0.342,0.475
1ATf8bxRWWTycbO6DzqDGh,0,1,3,227093,175.25,0.272,0.559,-10.01,0.147,0.801,7.83e-06,0.711,0.331
1TDLgSSBYOmwq3EnGhO3S2,7,1,1,191296,137.245,0.283,0.151,-21.061,0.0377,0.974,0.882,0.128,0.151
1chEY2G6w0kKFTCvOO6vjq,0,1,4,200200,97.81,0.419,0.405,-17.486,0.0945,0.772,0.00368,0.958,0.376
1gtx1i4LiYbOtds6A2n97g,2,0,4,151699,166.561,0.194,0.225,-13.083,0.037,0.107,0.815,0.131,0.0326
1ixk3ih5C8ON6cqWJFtGH2,10,0,3,243805,120.069,0.445,0.887,-4.796,0.103,0.102,3.1e-05,0.907,0.814
1kgwVS70NRAUoOBQdJ7nHm,0,1,4,207373,151.258,0.5,0.588,-7.424,0.0359,0.509,9.55e-05,0.104,0.539
1zNMQfMGRFhoupap81ipDF,9,0,3,82787,104.038,0.504,0.753,-9.659,0.0525,0.353,0,0.709,0.448
28ItRzuz5vYFL6FCdkfgsq,0,1,4,158695,96.921,0.309,0.0558,-24.456,0.0319,0.965,0.0969,0.0763,0.0397
2jN3eWGhzG36Obh6TaVQmB,9,0,4,229714,134.08,0.637,0.598,-4.774,0.0272,0.126,2.91e-06,0.197,0.259
2ojnotGRQzKqPYTURlzXuZ,11,1,3,226352,127.618,0.345,0.144,-18.707,0.0354,0.98,0.891,0.11,0.218
2q7FsPTBN1KbSHVX3LlH1E,4,0,3,295629,131.014,0.299,0.0638,-23.627,0.0369,0.959,0.536,0.082,0.0486
