song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Chop Suey!,2015-05-27T14:28:59Z,3:30,7,1,https://open.spotify.com/track/7ljG08HpPchnE86B5mVjG2,https://p.scdn.co/mp3-preview/f32767472c61f941d4512c01ea4ebfae7c4ed2d5?cid=2490920ce5574a1a9b97a3e366c39dd3,Chop Suey!,2001-10-29,2,https://i.scdn.co/image/ab67616d00001e02277692f53f0b8b2bd646af65,https://open.spotify.com/album/2KdBdRHbvtla2qtgYOT2Td,System Of A Down,https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1
Tribute,2015-05-27T14:28:59Z,4:08,54,3,https://open.spotify.com/track/53XBXgtdqf1gmWMm3rqV27,https://p.scdn.co/mp3-preview/13b757fb24cd4e9362d37eb7ba8671c7ece1352f?cid=2490920ce5574a1a9b97a3e366c39dd3,Tenacious D,2001-09-25,21,https://i.scdn.co/image/ab67616d00001e02869a8f064058a6e0ae44e089,https://open.spotify.com/album/7mv1ciCld5Bp1y6TDGtjQY,Tenacious D,https://open.spotify.com/artist/1XpDYCrUJnvCo9Ez6yeMWh
Heavy Is the Head,2015-05-27T14:28:59Z,3:59,53,6,https://open.spotify.com/track/5rpjEBQVAVKDDIPa5dI37A,https://p.scdn.co/mp3-preview/5e787cfddc8984ed85cb72a8c921f2e56eeaf2f8?cid=2490920ce5574a1a9b97a3e366c39dd3,JEKYLL + HYDE,2015-04-28,16,https://i.scdn.co/image/ab67616d00001e028096ddc062a4dbc17b5148c0,https://open.spotify.com/album/1xy141zMRluP7YaE94IawT,Zac Brown Band,https://open.spotify.com/artist/6yJCxee7QumYr820xdIsjo
Baila Morena,2015-05-27T14:28:59Z,4:06,0,6,https://open.spotify.com/track/7qf8cekVqd5Hoy9I22dCnt,,ZU & Co.,2004-01-01,18,https://i.scdn.co/image/ab67616d00001e02a41b600bebc99276c0a8b1b2,https://open.spotify.com/album/77RR1nQetp8kUaZa7ogIVC,Zucchero,https://open.spotify.com/artist/2KftmGt9sk1yLjsAoloC3M
Only You Can Rock Me,2015-05-27T14:28:59Z,4:10,0,7,https://open.spotify.com/track/7oFBgLCY6VlicrHE64uDNI,,The Essential UFO,1992-10-19,16,https://i.scdn.co/image/ab67616d00001e02a4ee9784bb834316bafc70fa,https://open.spotify.com/album/6sFlIdQF7fBGGNbZEDKDQI,UFO,https://open.spotify.com/artist/2Omy3P5hFZym7FKum1JA1s
ATWA,2015-05-27T14:28:59Z,2:56,66,9,https://open.spotify.com/track/6gCVA6ja6g0foIsWv0RuSZ,https://p.scdn.co/mp3-preview/9746e630b909c775cf024db2e2af52cec8f83d79?cid=2490920ce5574a1a9b97a3e366c39dd3,Toxicity,2001-09-04,15,https://i.scdn.co/image/ab67616d00001e0230d45198d0c9e8841f9a9578,https://open.spotify.com/album/6jWde94ln40epKIQCd8XUh,System Of A Down,https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1
Na Dis Ti Sou 'ho Gia Meta,2015-05-27T14:28:59Z,6:04,0,9,https://open.spotify.com/track/7a8rv1EfShgAPBNPxhgdsI,,Tosa Hronia Mia Anasa,2008-01-14,36,https://i.scdn.co/image/ab67616d00001e029458df0d36a20c3a679f3dbe,https://open.spotify.com/album/5ql8n2ELRvnN9HAFQKEgA1,Lavrentis Machairitsas,https://open.spotify.com/artist/5z7uDSNrMNmtg7eikmaaau
Akouo Tin Agapi,2015-05-27T14:28:59Z,3:29,0,2,https://open.spotify.com/track/7dWMaeXW4oflOVJfo6II6a,,Ena Taxidi Pou Pote Den Telioni 1985 - 2000,2002-01-01,54,https://i.scdn.co/image/ab67616d00001e02e9a37b65764d463f43c6b0b8,https://open.spotify.com/album/4dusmCYjqF0jb4Ny8u7l8W,Tripes,https://open.spotify.com/artist/0j26rQ1q8emYPBLonXtEJ9
O Mavros Gatos,2015-05-27T14:28:59Z,5:27,0,8,https://open.spotify.com/track/7qNKCo6rJ7cACZUxCOy6EK,,Ef' Olis Tis Ilis - Vasilis Papakonstadinou,2007-04-23,66,https://i.scdn.co/image/ab67616d00001e024b3157bd17753727b8593992,https://open.spotify.com/album/5GZCr3qpFOPJgDlx2DAbmv,Vasilis Papakonstadinou,https://open.spotify.com/artist/6QO0eQd1MX0UrX582zWYcN
Kickapoo,2015-05-27T14:28:54Z,4:14,59,1,https://open.spotify.com/track/7lFgli7y2vo7sjgynHZzBP,https://p.scdn.co/mp3-preview/177bdfff1702158fb74b08a713ad22888f9f2951?cid=2490920ce5574a1a9b97a3e366c39dd3,The Pick Of Destiny,2006-11-02,15,https://i.scdn.co/image/ab67616d00001e02bc90b4b507565e1fae75033d,https://open.spotify.com/album/3tYcwViLCWsT1ssa5p7V7A,Tenacious D,https://open.spotify.com/artist/1XpDYCrUJnvCo9Ez6yeMWh
