track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
4xQvvwFiWaJXwwqQxCs6Nh,7,1,4,553245,116.56,0.367,0.0894,-22.206,0.0381,0.913,0.877,0.105,0.0393
58eWz82VjBZLNwL6u4li7F,0,1,4,269025,133.194,0.534,0.078,-21.014,0.0739,0.994,0.879,0.108,0.185
5rqQTEIVK2PTuXU9GI2wT0,10,1,4,180013,145.075,0.602,0.601,-5.742,0.0303,0.346,0.349,0.0735,0.553
0U6Vg6RUmzADUO0Y9fVKft,2,1,4,173627,92.544,0.492,0.564,-5.811,0.0278,0.129,1.73e-05,0.131,0.0896
1t67WYNfUxfOiwaz7SJ66b,8,1,4,208640,77.104,0.714,0.585,-4.57,0.0419,0.057,0.00444,0.144,0.842
27ahRB7KqTD8HQ9ddK2110,2,1,4,222887,104.065,0.74,0.14,-16.1,0.0429,0.969,0.942,0.107,0.212
6hkfgHhYXyDVYahUOZhGRd,7,1,4,185907,88.062,0.542,0.766,-5.411,0.0282,0.0295,0.0802,0.396,0.643
6IRdLKIyS4p7XNiP8r6rsx,8,0,4,168840,185.044,0.726,0.444,-8.922,0.372,0.283,0.143,0.177,0.569
2URDbWGmPz3vhagl25p8OC,9,0,4,212093,142.2,0.584,0.835,-4.326,0.0297,0.0411,0.0147,0.199,0.781
6CcJMwBtXByIz4zQLzFkKc,0,1,4,291796,137.446,0.421,0.131,-18.435,0.0382,0.952,0.00453,0.109,0.12
0QlDZA7P0Wjku30vHebrPU,2,0,3,136626,102.42,0.436,0.226,-18.262,0.0442,0.959,0.909,0.112,0.0962
2HbYLDA1SigY1ilC94ieVu,7,0,3,158040,176.689,0.372,0.865,-4.288,0.0513,0.00169,0.00293,0.127,0.594
2OJawLs5ZIARF0xitufLhT,2,1,4,156211,120.038,0.747,0.14,-18.057,0.123,0.971,0.909,0.0631,0.264
2RcFfAkh3x0oAF2rgYLoNl,6,1,3,154984,147.511,0.635,0.193,-11.838,0.0476,0.96,0.851,0.109,0.318
43zdsphuZLzwA9k4DJhU0I,4,1,4,196077,82.642,0.367,0.111,-14.084,0.0972,0.978,3.97e-05,0.0897,0.198
5Z5nbOXhsSbySVC7WUc6y9,0,1,4,312347,130.189,0.601,0.863,-4.31,0.0685,0.0626,0.0,0.0717,0.676
60T4FDF1tTcFlXkI08FFhL,0,1,4,182560,103.943,0.514,0.773,-3.754,0.0388,0.00944,0.00326,0.387,0.445
7aiKdAM9WYW3GzWSA9OXIl,5,0,4,271613,106.521,0.675,0.681,-5.728,0.0356,0.312,0.0,0.304,0.675
3Fj47GNK2kUF0uaEDgXLaD,7,1,4,221543,118.028,0.853,0.351,-10.198,0.241,0.39,9.38e-06,0.752,0.282
4QIo4oxwzzafcBWkKjDpXY,9,1,4,243725,111.554,0.521,0.125,-17.832,0.239,0.751,0.00207,0.265,0.0528
