song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Golden Trunks,2:53,52.0,5.0,https://open.spotify.com/track/0U6Vg6RUmzADUO0Y9fVKft,https://p.scdn.co/mp3-preview/cada88e14b7a14571232ca35874c5398ebc3725b?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
One Point Perspective,3:28,55.0,2.0,https://open.spotify.com/track/1t67WYNfUxfOiwaz7SJ66b,https://p.scdn.co/mp3-preview/9ff7880279f7b054f15c089cbb5f445994c9c926?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Air on a G String,3:42,60.0,8.0,https://open.spotify.com/track/27ahRB7KqTD8HQ9ddK2110,https://p.scdn.co/mp3-preview/7c41011574b2271a1b2ca6320c7c58026305dcd0?cid=2490920ce5574a1a9b97a3e366c39dd3,Relaxing Music,2017-05-12,14.0,https://i.scdn.co/image/ab67616d00001e020dfbc9b1b61097ebe0daf236,https://open.spotify.com/album/4owrox6fGHGbH3GfyjdfTo,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Call Me - Acoustic,3:17,10.0,8.0,https://open.spotify.com/track/2aLvHsy5JBLrpG2RworRzC,https://p.scdn.co/mp3-preview/dc29ea7d194294b02e7d4aaad9c79a5c076b41cb?cid=2490920ce5574a1a9b97a3e366c39dd3,Call Me Remixes,2011-04-08,9.0,https://i.scdn.co/image/ab67616d00001e026473a3026a5eb3f57c799cc0,https://open.spotify.com/album/5Ism51vrxusDwvFK30ntMC,Claydee,https://open.spotify.com/artist/2rcsCDLsJw6erBukvjEsrP
Science Fiction,3:05,47.0,8.0,https://open.spotify.com/track/6hkfgHhYXyDVYahUOZhGRd,https://p.scdn.co/mp3-preview/2ec09221ef6979e034c22ac7198056117850e744?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Sodade,4:53,60.0,1.0,https://open.spotify.com/track/7xzMrUmlooPa1Fmp88hlYc,https://p.scdn.co/mp3-preview/ecbcfb58393dfc2fac69ce16fed29491da3833cd?cid=2490920ce5574a1a9b97a3e366c39dd3,Miss Perfumado,1992-10-21,13.0,https://i.scdn.co/image/ab67616d00001e02f9d5f297a65f0b2a90ac7fd6,https://open.spotify.com/album/5JDeqzJVs53ZJT1KCjO6Jp,Cesária Evora,https://open.spotify.com/artist/0Nks3cFWU2a7rooAlFQYgn
Dog Years,4:37,59.0,4.0,https://open.spotify.com/track/5RRNZFyOi17nTh2bPEKPtp,,Now That The Light Is Fading,2017-02-16,5.0,https://i.scdn.co/image/ab67616d00001e02d0aff101587ed69600d7daab,https://open.spotify.com/album/16wZsyXQ463IYlrXyJnRfY,Maggie Rogers,https://open.spotify.com/artist/4NZvixzsSefsNiIqXn0NDe
all the good girls go to hell,2:48,79.0,5.0,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14.0,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Watermelon Sugar,2:54,95.0,2.0,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=2490920ce5574a1a9b97a3e366c39dd3,Fine Line,2019-12-13,12.0,https://i.scdn.co/image/ab67616d00001e0277fdcfda6535601aff081b6a,https://open.spotify.com/album/7xV2TzoaVc0ycW7fwBwAml,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3
Godchild - 2001 - Remaster,3:07,8.0,5.0,https://open.spotify.com/track/7D4Yk22MDzE47SXXqjuime,https://p.scdn.co/mp3-preview/d0854c8598cc72bd9208ae4e63db722e40b69cd6?cid=2490920ce5574a1a9b97a3e366c39dd3,Milestones,2019-04-19,15.0,https://i.scdn.co/image/ab67616d00001e025a017d1fabeaaba3da2b2dc0,https://open.spotify.com/album/6z8yu4xG3mZGZH350IZjLf,Miles Davis,https://open.spotify.com/artist/0kbYTNQb4Pb1rPbbaF0pT4
Makeba - Radio Edit,3:36,51.0,1.0,https://open.spotify.com/track/5FkBFIGzG8lYFktLyZNUq6,https://p.scdn.co/mp3-preview/5b641dc84a3a305f56cd4e36b66b7d3acec2b626?cid=2490920ce5574a1a9b97a3e366c39dd3,Makeba (Radio Edit),2016-12-02,1.0,https://i.scdn.co/image/ab67616d00001e02b99bfc287926e3604511d6e9,https://open.spotify.com/album/4GtRTtBrGPlgzhuXTuGFx1,Jain,https://open.spotify.com/artist/2HHmvvSQ44ePDH7IKVzgK0
Le lac,3:55,57.0,4.0,https://open.spotify.com/track/0fQIB0rVuLNDNlq3B0hij9,https://p.scdn.co/mp3-preview/7347db984274ba14db9f154ea2383eaec3858395?cid=2490920ce5574a1a9b97a3e366c39dd3,&,2016-10-14,13.0,https://i.scdn.co/image/ab67616d00001e02a2f937008fdbc041a5cbbc9b,https://open.spotify.com/album/2JIk3csX6RdYMCmpyStgVj,Julien Doré,https://open.spotify.com/artist/6jStlKLflTMUN6BajxrNlj
