song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Wait a Minute!,3:16,82,13,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh,,ARDIPITHECUS,2015-01-11,15,https://i.scdn.co/image/ab67616d00001e026ee651e65c3766d80e7fcab7,https://open.spotify.com/album/0wfne2JijoxJm0qzJd3V5h,WILLOW,https://open.spotify.com/artist/3rWZHrfrsPBxVy692yAIxF
No Roots,3:57,59,3,https://open.spotify.com/track/3D5wnLaeVlCCIPzQOOAirA,https://p.scdn.co/mp3-preview/f908464937806ca039446a780db356eb6e5902eb?cid=2490920ce5574a1a9b97a3e366c39dd3,Mint,2019-01-18,11,https://i.scdn.co/image/ab67616d00001e027d53a512292b565a520aaca1,https://open.spotify.com/album/5j6gsQqT3UZeSghw0Xf3Pi,Alice Merton,https://open.spotify.com/artist/7f0OLhGgBMX9fUjm1dcPip
Love Is A Battlefield,4:11,44,1,https://open.spotify.com/track/3DPJ8HfH6ktSgBf21pVquQ,,Premium Gold Collection,1998-01-01,20,https://i.scdn.co/image/ab67616d00001e0208ae628b57bef9f6429a6b72,https://open.spotify.com/album/0IPhq2iXwbqGUzTmpaysTo,Pat Benatar,https://open.spotify.com/artist/43mhFhQ4JAknA7Ik1bOZuV
Cherry,4:31,61,9,https://open.spotify.com/track/4sRmzVSedvFkENbSJ342Ex,https://p.scdn.co/mp3-preview/f0f6c06286db613d4440211bb368b2b36138feae?cid=2490920ce5574a1a9b97a3e366c39dd3,Cherry (Deluxe),2017-12-09,18,https://i.scdn.co/image/ab67616d00001e02f760c22b4b68d5d0616be34a,https://open.spotify.com/album/6OqegZkCUq29CJarqL8trP,Chromatics,https://open.spotify.com/artist/4tOVIRjlWWfR1RrAxyRqTE
Hymn For The Weekend,4:28,48,1,https://open.spotify.com/track/5VpNPtwollTGlk1l5XwAPj,https://p.scdn.co/mp3-preview/f4ffa1765c387b4b0b99b4c09d142fa5b246ab8c?cid=2490920ce5574a1a9b97a3e366c39dd3,Hymn For The Weekend,2019-04-05,1,https://i.scdn.co/image/ab67616d00001e02ca531708d5150546e028eeb6,https://open.spotify.com/album/4c3TYV0UUNuy9B3ac9X7Wh,Izzamuzzic,https://open.spotify.com/artist/5EiDVD35ofoSKq1KE0jcs8
Standing Next To Me,2:18,24,2,https://open.spotify.com/track/5Yo7EKacdJJF30Kb1YEots,,The Age Of The Understatement,2008-01-01,12,https://i.scdn.co/image/ab67616d00001e02b7ca0fd108a57c36d381867e,https://open.spotify.com/album/3wKnLgxCmFr7vl3izFVTDM,The Last Shadow Puppets,https://open.spotify.com/artist/2Z7UcsdweVlRbAk5wH5fsf
Runnin' (Lose It All),3:33,66,1,https://open.spotify.com/track/5yZvaUVyuXfSVUaMumFi6l,,Runnin' (Lose It All),2015-09-17,1,https://i.scdn.co/image/ab67616d00001e02c24dcf24b68739638e3231bd,https://open.spotify.com/album/2YnYgyx7N8MkgQHCcRYfKP,Naughty Boy,https://open.spotify.com/artist/1bT7m67vi78r2oqvxrP3X5
Shape Of My Heart,4:39,72,10,https://open.spotify.com/track/6CKoWCWAqEVWVjpeoJXyNH,,Ten Summoner's Tales,1993-03-09,12,https://i.scdn.co/image/ab67616d00001e02653b110d9560eb1656f4c583,https://open.spotify.com/album/5kV0KBXfELibs6qQJLmOtg,Sting,https://open.spotify.com/artist/0Ty63ceoRnnJKVEYP0VQpk
Watermelon Sugar,2:54,95,2,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=2490920ce5574a1a9b97a3e366c39dd3,Fine Line,2019-12-13,12,https://i.scdn.co/image/ab67616d00001e0277fdcfda6535601aff081b6a,https://open.spotify.com/album/7xV2TzoaVc0ycW7fwBwAml,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3
So Tell the Girls That I Am Back In Town - Radio Edit,3:49,43,3,https://open.spotify.com/track/5nz8NVfvYxix6AIRrEaMbI,https://p.scdn.co/mp3-preview/e76ed9b5cff886d1bf201d5cdf22afb4cb85a396?cid=2490920ce5574a1a9b97a3e366c39dd3,Best of 1996-2013,2013-02-03,20,https://i.scdn.co/image/ab67616d00001e02075d45c04db628cfd7eb22e0,https://open.spotify.com/album/1YWoyGgtDonqMt69Kmvo7X,Jay-Jay Johanson,https://open.spotify.com/artist/4hzC9WUUy3cFituT71tzB4
