song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
The Bard's Song - In the Forest - Remastered 2007,3:09,58.0,7.0,https://open.spotify.com/track/7xPGvZaG9W7UOrCgEwbONe,https://p.scdn.co/mp3-preview/472a627f56332569078ddea7f20bb8990b845e1e?cid=2490920ce5574a1a9b97a3e366c39dd3,Somewhere Far Beyond (Remastered 2007),2017-09-19,15.0,https://i.scdn.co/image/ab67616d00001e02e8c8f9410e7fe5fc25910fc2,https://open.spotify.com/album/4oruHZSLyTDKPNY2VQIlCS,Blind Guardian,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6
I Am the Abyss,8:50,39.0,1.0,https://open.spotify.com/track/3Op2bVsGwXrHxWs7XhR5bX,https://p.scdn.co/mp3-preview/b506f9e7cb161139fc17d3668f812de3c9d7fd5b?cid=2490920ce5574a1a9b97a3e366c39dd3,Emergence,2014-02-28,9.0,https://i.scdn.co/image/ab67616d00001e027581230e7e5f78fb8489ef91,https://open.spotify.com/album/1NfBFQ6fMQ7VukwFYQuS4I,Shylmagoghnar,https://open.spotify.com/artist/0sfWl1dWLgEtMy9oFnNoDA
Zero Gravity,5:53,24.0,3.0,https://open.spotify.com/track/5D7H3jQFz8dK8q92Or6vM8,https://p.scdn.co/mp3-preview/ee70ad5a216c7ea75d47ee484bf9c067d121205f?cid=2490920ce5574a1a9b97a3e366c39dd3,Zero Gravity (Rebirth and Evolution),2019-06-28,11.0,https://i.scdn.co/image/ab67616d00001e026d83c8fae419b393565aa12a,https://open.spotify.com/album/5faBJYEVhlhQTR7InxnjmF,Turilli / Lione Rhapsody,https://open.spotify.com/artist/4jp6jGwANHkhNr6gbJNhiy
Ekeino To Tipota,3:34,36.0,4.0,https://open.spotify.com/track/0glfTuUIhuNzNofc0p9b1x,https://p.scdn.co/mp3-preview/c063efec449dbadda483c01c986ce5966b70c965?cid=2490920ce5574a1a9b97a3e366c39dd3,Adyto,2019-03-13,12.0,https://i.scdn.co/image/ab67616d00001e02ad1bef56770866092570e2ef,https://open.spotify.com/album/2ZYRap1o9GuuxOXwY1FHev,Anser,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Blood Dragon Theme,3:04,46.0,2.0,https://open.spotify.com/track/0fkgNje097R3eszeV59iTI,https://p.scdn.co/mp3-preview/bd2567a03586579456bcf662476196e782409456?cid=2490920ce5574a1a9b97a3e366c39dd3,Far Cry 3: Blood Dragon (Original Game Soundtrack),2013-05-01,25.0,https://i.scdn.co/image/ab67616d00001e02cda9492983b4a34045b706ed,https://open.spotify.com/album/231L8hGyehsAzmrPrd785m,Power Glove,https://open.spotify.com/artist/0dalJaAT80lKfkZsC86lnW
Land of Snow and Sorrow,8:21,39.0,3.0,https://open.spotify.com/track/3WpmO13nUtLDRZujMgu4ss,https://p.scdn.co/mp3-preview/28c57d18cbd5d8db298818292ce4b48f93ed85ff?cid=2490920ce5574a1a9b97a3e366c39dd3,Time I,2012-10-19,5.0,https://i.scdn.co/image/ab67616d00001e0278466f5ee5abbde34bd00535,https://open.spotify.com/album/0V32xSGyy0TyOzbc5ufoWX,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Beast of Oblivion,4:52,19.0,3.0,https://open.spotify.com/track/3iy4s2X2SKl0dUPv2sewTW,https://p.scdn.co/mp3-preview/68e8070ed9851e30731a418d5b81cd70b7011c47?cid=2490920ce5574a1a9b97a3e366c39dd3,Dark Lights of Delirium,2018-08-18,9.0,https://i.scdn.co/image/ab67616d00001e0283aa6293be8fb653eaed8bc5,https://open.spotify.com/album/0Vrq3djLOTycudgWyuOibF,Sōlborn,https://open.spotify.com/artist/6OZxe9BMfBya7y1PkoZl0h
Wings of Madness,5:51,26.0,1.0,https://open.spotify.com/track/3grQiRfMVcH8hhWbJwhTDE,https://p.scdn.co/mp3-preview/fefabe01b6344c384d540f51a8854638e197c10e?cid=2490920ce5574a1a9b97a3e366c39dd3,War of Ages,2013-03-22,12.0,https://i.scdn.co/image/ab67616d00001e022b146ac49b2120ef22b1d05b,https://open.spotify.com/album/3u1uN67E4yun4pIWLoTRgg,Serenity,https://open.spotify.com/artist/3cdasOCLRe8dKjzjowtzNW
The Chosen Ones,5:02,57.0,6.0,https://open.spotify.com/track/7FQvFYg88JndjHvd5tBxwI,https://p.scdn.co/mp3-preview/516371ed5b30dc8b83bb7dc0892219ce0d95c68b?cid=2490920ce5574a1a9b97a3e366c39dd3,Dragonslayer,2002-07-13,12.0,https://i.scdn.co/image/ab67616d00001e02b1b987d182eba3af75bf48bf,https://open.spotify.com/album/75e23vS6UP1bZWkVphKGiD,Dream Evil,https://open.spotify.com/artist/1bkf8u8ot6vEpWTJFBzKZB
Crimson Bow and Arrow,5:42,50.0,1.0,https://open.spotify.com/track/31XLeIFY68pll9LNu1IkXV,https://p.scdn.co/mp3-preview/d9906148455c65cbc31423f1827bb128c4f97727?cid=2490920ce5574a1a9b97a3e366c39dd3,Epica vs. Attack on Titan Songs,2018-07-20,8.0,https://i.scdn.co/image/ab67616d00001e020cca043a845cf671adcab58b,https://open.spotify.com/album/56nnXtBQCyeSTWpVkjDQM3,Epica,https://open.spotify.com/artist/5HA5aLY3jJV7eimXWkRBBp
Forever and One (Neverland),3:54,55.0,5.0,https://open.spotify.com/track/0B6qYQS41EcbC66r7c4DBB,https://p.scdn.co/mp3-preview/ad02c0e706616c5615edfdf4322189a6982d9bfb?cid=2490920ce5574a1a9b97a3e366c39dd3,The Time of the Oath,1996-02-29,20.0,https://i.scdn.co/image/ab67616d00001e023f76bb87b836986c30f14ff4,https://open.spotify.com/album/5hx4UkhFj4gaUA0mjNr9D4,Helloween,https://open.spotify.com/artist/4pQN0GB0fNEEOfQCaWotsY
Starbreathe,6:04,1.0,7.0,https://open.spotify.com/track/0d4djcbgvUDfZL36z9lC3U,https://p.scdn.co/mp3-preview/7654c0d16f262b1865c97a42c95d1bc13defc3f6?cid=2490920ce5574a1a9b97a3e366c39dd3,Dark Lights of Delirium,2018-08-18,9.0,https://i.scdn.co/image/ab67616d00001e0283aa6293be8fb653eaed8bc5,https://open.spotify.com/album/0Vrq3djLOTycudgWyuOibF,Sōlborn,https://open.spotify.com/artist/6OZxe9BMfBya7y1PkoZl0h
The Frontiersman,9:26,10.0,4.0,https://open.spotify.com/track/43LTBUA8nPfm7awbfoLlRY,https://p.scdn.co/mp3-preview/8750b80b2bd8f42ca97122912958ecc8b8eba709?cid=2490920ce5574a1a9b97a3e366c39dd3,The Valiant Fire,2015-03-27,9.0,https://i.scdn.co/image/ab67616d00001e028141ef92836a71e74e44847f,https://open.spotify.com/album/6OjCmfAeNBPt4LZt33MSBY,Damnation Angels,https://open.spotify.com/artist/2eEhQPfMLCsfp86DtyMH2D
Tormento E Passione,4:51,21.0,5.0,https://open.spotify.com/track/4MY9Q7prDFGJVogp8q856Z,https://p.scdn.co/mp3-preview/ef25a7462e85f89dd1787dd75a208ad8a7a6533e?cid=2490920ce5574a1a9b97a3e366c39dd3,Ascending to Infinity,2012-06-22,9.0,https://i.scdn.co/image/ab67616d00001e02d78d4741f3417c97fd5037c2,https://open.spotify.com/album/4SbuFIAycSrXxLMTFdeItI,Rhapsody,https://open.spotify.com/artist/5EK3wiPHyJmGACboD5cifA
Loneliness (Winter),12:54,34.0,4.0,https://open.spotify.com/track/6Qb4UHym7uBDGHRU0LYNjk,https://p.scdn.co/mp3-preview/1bc1b998aa2e278b4b24122d1ba6ba533b87aceb?cid=2490920ce5574a1a9b97a3e366c39dd3,The Forest Seasons,2017-07-21,8.0,https://i.scdn.co/image/ab67616d00001e02ad1eaaa01c0fd06eae704959,https://open.spotify.com/album/7ql5kbq4iJKLT2lpiaiZSr,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
