name,followers,popularity,genres,image_url,external_url
Metallica,15441643,85,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",https://i.scdn.co/image/0c22030833eb55c14013bb36eb6a429328868c29,https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB
Iván Torrent,40248,51,['epicore'],https://i.scdn.co/image/0d83ebb5b43e07c556b91150d82ef67c8040675e,https://api.spotify.com/v1/artists/3C6hf9ZIza3e2f2Q3XwfcO
Veonity,5866,35,"['melodic metal', 'power metal', 'sci-fi metal', 'symphonic power metal']",https://i.scdn.co/image/75880f8cf407788b9fa041ca00ef6251456dd30e,https://api.spotify.com/v1/artists/3Zero2Ovi9miqMvjcNpobH
Ancient Bards,32210,42,"['gothic metal', 'gothic symphonic metal', 'italian metal', 'italian power metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal', 'symphonic power metal']",https://i.scdn.co/image/b618113aa360e473bfa0428c34a62eb5bd0369f0,https://api.spotify.com/v1/artists/3ZlSRBv3StWrGuGTAwKskP
Within Temptation,854146,67,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/21f484d83b6b4f0cb60da6848fdf06a011d525b8,https://api.spotify.com/v1/artists/3hE8S8ohRErocpkY7uJW4a
Orion's Reign,5841,35,"['greek metal', 'melodic metal', 'symphonic power metal']",https://i.scdn.co/image/bf035a42dc759a2aabb1448e0628b24eb3f909f3,https://api.spotify.com/v1/artists/3hRL14TJtJqr7i1IH3D1pU
Break My Fucking Sky,5053,28,['russian post-rock'],https://i.scdn.co/image/47492a0be12c4175b2e65bd7289a4c87b2a55758,https://api.spotify.com/v1/artists/3mFTiX7WrhpcmoJLghp54A
Sabaton,1117050,77,"['metal', 'power metal', 'swedish metal', 'swedish power metal']",https://i.scdn.co/image/508b65d5e0ae5dae0436804d16051ad3029afe41,https://api.spotify.com/v1/artists/3o2dn2O0FCVsWDFSh8qxgG
Amon Amarth,718900,66,"['alternative metal', 'death metal', 'melodic death metal', 'metal', 'power metal', 'swedish death metal', 'swedish metal', 'tolkien metal', 'viking metal']",https://i.scdn.co/image/2b6e47010d6df6c550bf8f22d58fa70409f421e3,https://api.spotify.com/v1/artists/3pulcT2wt7FEG10lQlqDJL
Orden Ogan,73661,53,"['folk metal', 'german metal', 'melodic metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic power metal']",https://i.scdn.co/image/e44231810b00059fd1df78328a88b512c989f77b,https://api.spotify.com/v1/artists/3t5X2CVDf5mrlIx1SdvWYM
