song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
And I Shall Find My Home,2020-04-25T11:27:35Z,5:01,16,9,https://open.spotify.com/track/1HjS3r4G4XvZujbHV1GJ8B,https://p.scdn.co/mp3-preview/f6d8cf4f236d0e3c8ac5d7a77690d61364269bbf?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
Islands in Time,2020-04-25T11:27:34Z,6:10,12,8,https://open.spotify.com/track/5JI0zbJ7rSzwSMvMitihjb,https://p.scdn.co/mp3-preview/5b29cf92fc918d48f17e9a38d905408d428415a3?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
The Escape,2020-04-25T11:27:33Z,5:24,12,7,https://open.spotify.com/track/7sZn77gX50fmnPIQaQUzp4,https://p.scdn.co/mp3-preview/97c5c397cad4879b0845f051ba66e518aa9e79dc?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
Love Eternal,2020-04-25T11:27:27Z,6:15,13,6,https://open.spotify.com/track/0jgURzSaYlGVNbGVbZ4PsO,https://p.scdn.co/mp3-preview/a79fc35ad97f0ded2fb1f67ba6df4a5511752f0b?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
Domini Canes - March of the Holy Inquisition,2020-04-25T11:27:26Z,4:45,14,5,https://open.spotify.com/track/26pvnuSUJz5ah3WTVwURJr,https://p.scdn.co/mp3-preview/8d9b2901b19edea2583c8b58afde18d409864488?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
Life Eternal,2020-04-25T11:27:25Z,4:54,14,4,https://open.spotify.com/track/4iOXnD3DFeQg05dxrPYYWX,https://p.scdn.co/mp3-preview/eb5340c8f3397ee1a4711f0a147005b385e06d22?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
The Monastery,2020-04-25T11:27:24Z,4:16,17,3,https://open.spotify.com/track/5gjlOiexcRTuB7KUrdsUfO,https://p.scdn.co/mp3-preview/4d65f4d3b22cea4e312f9d1b5ef66de113329139?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
The Legacy of Atlantis,2020-04-25T11:27:23Z,6:19,26,2,https://open.spotify.com/track/6eQFxtuZfFtDWHTdXncEzw,https://p.scdn.co/mp3-preview/02df040eab7f30f0ee7c8487bc7bdb1cf41a6e5f?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
The Awakening,2020-04-25T11:27:21Z,5:25,16,1,https://open.spotify.com/track/4DyKZHpknOPPBP8e5rIpJM,https://p.scdn.co/mp3-preview/49ca98e6224ef012b212938db373442fdf6311dd?cid=2490920ce5574a1a9b97a3e366c39dd3,The Legacy of Atlantis,2018-02-01,9,https://i.scdn.co/image/ab67616d00001e029f77428dc1f1311fbc1c62c8,https://open.spotify.com/album/2zUncG4GUco0j8TYCnfFIS,Imperial Age,https://open.spotify.com/artist/7jlDQREUVAlJR20Zug4MIV
Ride to War - Symphonic Version,2020-04-25T11:27:20Z,5:38,6,5,https://open.spotify.com/track/1TCd8f5eJJwQ3nPd56FVM5,https://p.scdn.co/mp3-preview/3fc84eae13f7b40577f3e09318cf55185460fe69?cid=2490920ce5574a1a9b97a3e366c39dd3,Symphony of War,2019-09-27,7,https://i.scdn.co/image/ab67616d00001e0231321d82b47e7a08cbd2f551,https://open.spotify.com/album/24NIizAD86HjVMYYS8uBRd,Orion's Reign,https://open.spotify.com/artist/3hRL14TJtJqr7i1IH3D1pU
"Dargor, Shadowlord of the Black Mountain - Re-Recorded",2020-04-25T11:27:20Z,4:47,27,8,https://open.spotify.com/track/38GUGRFW4ede7wXqeXOba4,https://p.scdn.co/mp3-preview/d43825cf04a963b31a7854efac70e72cb2dc4c87?cid=2490920ce5574a1a9b97a3e366c39dd3,Legendary Years (Re-Recorded),2017-05-26,14,https://i.scdn.co/image/ab67616d00001e0211b32ec8f429d5bcfbc8bd21,https://open.spotify.com/album/1UfSUScEvxwfbJEVSFH21R,Rhapsody Of Fire,https://open.spotify.com/artist/2GnCQNJbs4xqFulqAdAg2U
