track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
7n3ir9EWwzgJ7v0hwVNfZd,2,1,4,40027,130.937,0.294,0.67,-11.326,0.07,0.425,0.897,0.145,0.615
1fZvEmAmWtsDSUjAgDhddU,11,0,4,197667,150.025,0.523,0.948,-4.627,0.12,0.000114,0.053,0.544,0.567
1tBxs9BqNlBXbIxVaCBrv5,4,0,4,231347,127.809,0.538,0.743,-5.928,0.0515,0.0343,0.00187,0.103,0.316
4vv3iX1eBV9NsdExzr1XWi,10,0,4,495733,124.883,0.483,0.991,-4.447,0.113,0.000213,0.0316,0.378,0.139
3lKq5H0xNnrgOqCQmokBE8,6,1,4,309000,129.965,0.446,0.977,-5.631,0.0676,0.000666,0.00845,0.349,0.348
0jlcj6mnbJNDyVorVeN0Sr,8,1,4,364383,82.983,0.361,0.925,-4.609,0.0439,7.6e-06,0.838,0.309,0.461
3nOOZwg5oYZQI86kPeEYrS,6,0,4,211080,199.835,0.425,0.961,-6.397,0.135,0.000641,1.99e-06,0.0637,0.355
7fv394wVDUHzKZku8cQBXi,5,0,3,602048,101.012,0.447,0.667,-8.969,0.0399,0.0256,0.000197,0.194,0.19
1tnagQAhcAhascF6ynocDl,11,0,4,672573,93.004,0.237,0.871,-4.382,0.0402,0.0015,0.00292,0.132,0.293
3e77C0bCaFIUXNFxI075D9,2,1,4,246493,174.859,0.341,0.928,-5.2,0.0691,3.36e-05,4.33e-06,0.109,0.353
4PS7ahhKBTfo4gF9DX8WQx,11,1,4,302240,154.89,0.335,0.953,-5.322,0.072,5.41e-05,0.0,0.39,0.182
5efydZMkYiKSdRnvjCtTqo,0,0,4,261040,89.983,0.373,0.876,-3.867,0.0396,0.000137,0.00211,0.384,0.285
79RDTQcXlIcVTpJGMWlemB,7,1,4,142120,81.437,0.161,0.885,-5.167,0.0991,0.000417,0.797,0.103,0.0798
0VTah1erm2jOkfkGvaWaG7,4,0,4,541133,131.978,0.285,0.899,-5.214,0.139,0.0118,0.00221,0.064,0.159
0ngSk8aGEjWS6fsHIV9KKj,11,0,3,269088,89.011,0.161,0.942,-6.67,0.14,4.76e-06,0.00315,0.106,0.198
0p3VPc9LSapVf8Aq2JAWVQ,5,0,5,39707,147.994,0.458,0.781,-14.102,0.634,0.602,8.35e-06,0.78,0.468
0sYRLD1fwOCtzVyF05ROjA,0,1,4,376133,160.015,0.158,0.988,-3.809,0.11,5e-06,0.00217,0.356,0.275
22TfhtbuvcpWMDtmHMhgq4,6,1,4,371787,145.478,0.25,0.882,-4.053,0.0675,0.000187,5.75e-05,0.312,0.366
2M87J8uPzYw3ZbUvgdYgRp,11,0,4,366853,84.977,0.438,0.827,-6.852,0.035,0.000755,0.0,0.121,0.198
2iVihTBuOHnC1WknZvG8GB,10,0,4,325147,94.495,0.443,0.91,-7.011,0.0542,0.000101,0.0815,0.0775,0.295
2t1G0rDxUY9zjML3f5mObb,10,0,4,229816,120.018,0.545,0.977,-5.033,0.106,3.12e-05,4.38e-06,0.0704,0.172
36bNLOlnoNI4WnujfrOt04,4,0,4,283507,160.005,0.424,0.871,-7.704,0.0503,0.00154,0.000549,0.115,0.416
3HdQl6NhCMreTaLWplHsOz,4,0,3,233320,105.062,0.532,0.942,-4.774,0.0859,1.93e-05,0.000423,0.561,0.428
3T1CEAG5ukgdqGvQuXWzqI,6,1,4,289773,105.115,0.578,0.945,-2.19,0.0852,0.0841,0.0011,0.137,0.4
3VkoNW3oogSQ1ulJLZYC8q,6,0,4,214960,164.048,0.374,0.986,-3.75,0.302,0.00585,0.000141,0.15,0.165
3fCYPl4mCU1DRUEfqs72un,1,0,4,356760,173.637,0.303,0.891,-7.059,0.111,0.0019,0.64,0.324,0.0573
4HebbFjQa16KaxznFajT3H,4,0,4,278800,125.576,0.432,0.58,-13.645,0.0398,0.00283,0.000287,0.0628,0.217
4Yhw9ngJk9tEyF5YKlSzuq,1,0,4,273960,199.933,0.121,0.931,-2.518,0.111,2.3e-05,0.0766,0.0875,0.0702
59S8Ygd3NlTfadqCyBiKDz,8,1,4,256080,95.023,0.505,0.935,-5.787,0.0518,0.000627,9.98e-06,0.257,0.321
7gDSMHIDjjZpcPCdiu6jIn,8,0,4,246053,70.047,0.199,0.911,-5.146,0.338,0.183,0.0,0.104,0.141
78EELjqOysiTFwJVOlsQmx,0,1,4,306596,120.06,0.552,0.876,-8.598,0.0763,0.213,0.0,0.352,0.324
7uX9Xdk7t5S0fidhjlgPv5,8,0,4,411307,143.953,0.425,0.961,-4.377,0.089,0.000409,3.99e-06,0.0802,0.111
1ALiG3jOB2tOfKiAWscWYQ,2,0,4,234187,91.298,0.587,0.866,-5.006,0.0332,0.216,0.878,0.0896,0.35
1zAR7Y8Ro4ntQnRWSRQMQ7,10,0,4,244107,154.998,0.367,0.959,-4.646,0.12,5.45e-05,0.0811,0.104,0.194
4OdKjX4IPfxQrL11UNSvTn,3,1,4,241342,112.054,0.472,0.819,-3.737,0.0477,0.000527,2.61e-05,0.182,0.364
2M2O7NJvTZWqc8CJ6qjMgV,2,0,4,234013,180.007,0.273,0.926,-2.445,0.093,0.00818,0.0,0.268,0.438
0ZvTvX3V1gE6i0hNnN7zJs,9,0,4,383933,119.919,0.378,0.572,-4.692,0.0331,0.00893,0.0,0.0831,0.175
46oovSPI68kVjUaPyildQZ,5,1,3,254440,160.115,0.289,0.866,-4.743,0.0914,0.000422,5.26e-06,0.18,0.31
4k9NBJg9JVBPdgO1y0Rgc0,11,0,4,235879,74.987,0.405,0.905,-5.644,0.0503,0.0483,0.0,0.261,0.304
4e9eGQYsOiBcftrWXwsVco,0,0,4,235053,79.342,0.364,0.922,-4.217,0.0566,0.000918,0.035,0.0696,0.227
4TYI2YExAWaIOpGP4y7AbI,0,1,4,249627,154.146,0.306,0.709,-3.593,0.0375,8.2e-05,0.00452,0.101,0.0436
6LJ4cC9tJc3En13Hil6g0C,1,0,4,216533,156.604,0.32,0.964,-2.101,0.0955,0.0322,0.0,0.382,0.102
23nQ0OXajph2n9yzYjP7Hs,2,1,4,181200,105.041,0.563,0.968,-6.297,0.0526,0.000749,1.53e-06,0.372,0.583
29dRAchP2emg5m1dv390ZF,6,0,4,283567,169.681,0.219,0.927,-4.123,0.0711,0.0227,0.000808,0.0954,0.269
