song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Scene Six: Home,12:53,43.0,8.0,https://open.spotify.com/track/6Xg1qoCkQLiXaRymH6wwMR,https://p.scdn.co/mp3-preview/3e9a2f55476cb718c4953b5851f4140599a78e73?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Scene Seven: I. The Dance of Eternity,6:13,50.0,9.0,https://open.spotify.com/track/7FTf3bJuCq5UYHjUwggKNB,https://p.scdn.co/mp3-preview/5233434f4de0e6a4c383ec1dc75d8f2d4dccaeab?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Scene Seven: II. One Last Time,3:46,41.0,10.0,https://open.spotify.com/track/7lr5pyqusxUQgkJYk5rPX1,https://p.scdn.co/mp3-preview/ec478e7f9663d7c5e0761d04427ce417b350c15a?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Spirit of the North,14:46,35.0,1.0,https://open.spotify.com/track/4AMCDB0S3wGZIHO4c8Z3lY,https://p.scdn.co/mp3-preview/3c7b896de9dc33e2a756556943a4a5b63a3f52df?cid=2490920ce5574a1a9b97a3e366c39dd3,The Force of the Ancient Land,2016-02-01,8.0,https://i.scdn.co/image/ab67616d00001e025fdcfafcc8e7831c5fe2c618,https://open.spotify.com/album/2DkCopQstFH6hjuOf0QYBe,Eldamar,https://open.spotify.com/artist/0mZRMbP7xU91E1FGvKbxhF
Digital World,3:17,59.0,5.0,https://open.spotify.com/track/1fZvEmAmWtsDSUjAgDhddU,https://p.scdn.co/mp3-preview/771ac4a5b02594dde010e730d96d7050dbf0d7bd?cid=2490920ce5574a1a9b97a3e366c39dd3,MASSIVE ADDICTIVE,2014-10-17,13.0,https://i.scdn.co/image/ab67616d00001e027e1fea351d3673f4f94f5c8c,https://open.spotify.com/album/0GCcO9StyRRAGumjCOTSpN,Amaranthe,https://open.spotify.com/artist/2KaW48xlLnXC2v8tvyhWsa
Honor Him,1:19,53.0,16.0,https://open.spotify.com/track/65hCWnFxcEfZmUTsGySi7W,https://p.scdn.co/mp3-preview/2f6daece6e34de8f0a9df50521282a410d17165d?cid=2490920ce5574a1a9b97a3e366c39dd3,Gladiator - Music From The Motion Picture,2000-01-01,35.0,https://i.scdn.co/image/ab67616d00001e025e26ee959941f78ce85ac080,https://open.spotify.com/album/1yqkE2BoMZaQRABJRJT2HZ,The Lyndhurst Orchestra,https://open.spotify.com/artist/6djeIA7Gl9v9gvnpRc1eIF
Guardians Of Asgaard,4:23,59.0,3.0,https://open.spotify.com/track/2DR9AzDhYeStkHupvU08FC,https://p.scdn.co/mp3-preview/0b63c609781ee0ab77e82733e49776ea01788249?cid=2490920ce5574a1a9b97a3e366c39dd3,Twilight Of The Thunder God,2008-09-30,10.0,https://i.scdn.co/image/ab67616d00001e029203fd1f5c23f0ad92ce63fa,https://open.spotify.com/album/3j0GCUTDz53x9Mzl8L1Fwz,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Embrace The Endless Ocean,6:44,43.0,10.0,https://open.spotify.com/track/0neBDiKwSS6L67sFNwQapy,https://p.scdn.co/mp3-preview/a2e279ad254a85c23fbe8e51ce2a8ac91d71d0d0?cid=2490920ce5574a1a9b97a3e366c39dd3,Twilight Of The Thunder God,2008-09-30,10.0,https://i.scdn.co/image/ab67616d00001e029203fd1f5c23f0ad92ce63fa,https://open.spotify.com/album/3j0GCUTDz53x9Mzl8L1Fwz,Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL
Autobots,2:33,56.0,1.0,https://open.spotify.com/track/1hQMzVXdoDZXcO16GOhWc5,https://p.scdn.co/mp3-preview/8aec0ba6610609f9e920314a22a0a055e3a218ef?cid=2490920ce5574a1a9b97a3e366c39dd3,Transformers: The Score,2007-10-01,20.0,https://i.scdn.co/image/ab67616d00001e02fb97e773be6149c9c935880c,https://open.spotify.com/album/2bTtOvLX0HONkxoQx3ir7U,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Strength of a Thousand Men,2:16,59.0,10.0,https://open.spotify.com/track/3GJZLvGXaVszYdSBLMtJFX,https://p.scdn.co/mp3-preview/5c30efa928b97f37c591e4333b30527a2e130fb3?cid=2490920ce5574a1a9b97a3e366c39dd3,Archangel,2011-09-20,26.0,https://i.scdn.co/image/ab67616d00001e029a2b587110f6c9e8d3967dcb,https://open.spotify.com/album/1TVpHhBK3pSTqizgLLh16s,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Erza's Theme,2:54,46.0,2.0,https://open.spotify.com/track/4FGatgfUBB3gqrmz1F6n41,https://p.scdn.co/mp3-preview/1b1549dbccfe013701f87386895d7084dc2f61e8?cid=2490920ce5574a1a9b97a3e366c39dd3,"""Fairy Tail"" Original Soundtrack Vol.1",2017-11-01,36.0,https://i.scdn.co/image/ab67616d00001e0268a3dfc0653c907a58f39d7a,https://open.spotify.com/album/5SZKUWakunPJRuseVjCsv0,Yasuharu Takanashi,https://open.spotify.com/artist/64mecceQewFCKwCK6JBW0o
Pull Me Under,8:13,61.0,1.0,https://open.spotify.com/track/5CPXR6lDTvngxtmMZxnWmC,https://p.scdn.co/mp3-preview/4a65db5279bd31980b5986b9f9deef31f80009a8?cid=2490920ce5574a1a9b97a3e366c39dd3,Images and Words,1992-06-30,8.0,https://i.scdn.co/image/ab67616d00001e02f4d11b78efa76496f2acd618,https://open.spotify.com/album/2QgGoL5VSQhPHudTObS7zK,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
"Rum, Women, Victory",4:16,41.0,1.0,https://open.spotify.com/track/5YcB0wui6lsi7q9M5WAjkv,https://p.scdn.co/mp3-preview/cc8c6b8d2890b5faf6ae0fe099179da3da4f7c05?cid=2490920ce5574a1a9b97a3e366c39dd3,"Rum, Women, Victory",2020-05-06,1.0,https://i.scdn.co/image/ab67616d00001e0258fbb7fae75b4b6c83d77888,https://open.spotify.com/album/2HCtts8fM8KyfFYWh2kneR,Ensiferum,https://open.spotify.com/artist/0krXCIkthz13P8o0v2tksH
Illuminate,4:09,25.0,3.0,https://open.spotify.com/track/5ZUVl5e6qkSCK9JfZaq9id,https://p.scdn.co/mp3-preview/a932b6eefb092e9a50dd0ae166a81ad6287c4065?cid=2490920ce5574a1a9b97a3e366c39dd3,Grim,2020-07-17,12.0,https://i.scdn.co/image/ab67616d00001e0283f69ee828823d76966a50a5,https://open.spotify.com/album/5aYJkKJl3i00hIinuAI05b,Dark Sarah,https://open.spotify.com/artist/6TvwiAPxsB2Zj2o8bNlogk
Take This Life,3:35,48.0,1.0,https://open.spotify.com/track/0cEZ1p68dXFoN5diP3aEEV,https://p.scdn.co/mp3-preview/9225a58f47db74437b378fc97133af84a8ee64bf?cid=2490920ce5574a1a9b97a3e366c39dd3,Come Clarity,2006-02-03,13.0,https://i.scdn.co/image/ab67616d00001e021909382b1294cd831759c14a,https://open.spotify.com/album/2fLMg10IFuqgkmSlIAXjwu,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
