track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
6nyybl5FkA8F99UZcSEYQc,9,0,4,286853,130.025,0.602,0.753,-6.533,0.0253,5.01e-05,0.513,0.108,0.509
57Xjny5yNzAcsxnusKmAfA,9,1,4,219754,157.992,0.486,0.666,-5.084,0.033,0.000563,0.789,0.101,0.741
6y20BV5L33R8YXM0YuI38N,0,1,4,278747,170.411,0.509,0.584,-4.907,0.057,0.0368,9.96e-05,0.384,0.685
7h4RBE1rGeHMoU7722HGVY,9,1,4,265640,133.926,0.427,0.906,-3.488,0.0472,6.36e-06,0.81,0.169,0.539
0fZLTsasJCJ2EaaczK2Nob,5,1,4,277808,145.546,0.342,0.938,-6.368,0.0325,0.0194,0.127,0.274,0.758
3T1CEAG5ukgdqGvQuXWzqI,6,1,4,289773,105.115,0.578,0.945,-2.19,0.0852,0.0841,0.0011,0.137,0.4
3Sgq63eiQf1VMC7IEGgFDo,10,0,4,215373,100.043,0.674,0.688,-7.324,0.0579,0.53,5.16e-05,0.253,0.531
1PXsUXSM3LF2XNSkmIldPb,2,1,4,251267,95.163,0.365,0.466,-7.514,0.0418,0.161,6.68e-06,0.106,0.487
054IHyUigregF2gjkMoO7H,10,1,4,352880,77.516,0.426,0.82,-6.79,0.0346,0.0234,0.285,0.109,0.314
5n9hU4pr70dlE3thiQNcwV,5,1,4,206947,107.88,0.601,0.576,-7.79,0.0394,0.276,0.028,0.12,0.559
3tRv4ZYZimrL27flnjgeR6,10,1,4,213800,133.134,0.478,0.923,-7.547,0.0569,2.7e-05,0.719,0.325,0.165
0wLeXKBtG1wcpA86TyLLvZ,7,1,4,373067,118.545,0.467,0.883,-4.749,0.0317,0.000936,0.0108,0.154,0.58
2kgnR3YK6j6U0cpUguecyQ,9,0,4,190933,160.2,0.334,0.876,-5.629,0.0407,0.00152,3.91e-06,0.0769,0.52
3pvTTAniXOLKWWtXn5sViP,8,0,4,240107,105.254,0.441,0.71,-5.488,0.0291,0.000682,0.134,0.121,0.114
5SI421ME9jVxpDYHnGU5UK,9,0,4,321013,116.0,0.719,0.703,-6.917,0.0293,0.223,0.000879,0.112,0.522
3pUTJPIxhaMMFKhiMnfi1R,6,0,4,242560,127.884,0.417,0.706,-4.652,0.0945,0.00933,0.000572,0.474,0.512
