song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Armada,2015-02-12T22:45:33Z,3:03,35,2,https://open.spotify.com/track/5mx1oyU4ss3fvWtKMh9J7r,https://p.scdn.co/mp3-preview/ab0e59c2d279d33d451c6bc5be229403f4d6ceeb?cid=2490920ce5574a1a9b97a3e366c39dd3,"Classics, Vol. 1",2013-06-11,23,https://i.scdn.co/image/ab67616d00001e02c75175df6be9f07e51e46e0d,https://open.spotify.com/album/6yh0ks8dT6hNrbjac0VhfJ,Thomas Bergersen,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Nemesis,2015-02-12T22:44:03Z,1:18,35,1,https://open.spotify.com/track/7Aitbw7TqkE1qAKANwJXug,https://p.scdn.co/mp3-preview/6d421285c86e6da565b29cda542383f40cbe697a?cid=2490920ce5574a1a9b97a3e366c39dd3,"Classics, Vol. 1",2013-06-11,23,https://i.scdn.co/image/ab67616d00001e02c75175df6be9f07e51e46e0d,https://open.spotify.com/album/6yh0ks8dT6hNrbjac0VhfJ,Thomas Bergersen,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Vendetta,2015-02-12T22:41:51Z,2:11,6,9,https://open.spotify.com/track/46tYPlPCL3GEYyVHokDWzw,,Vendetta - Position Music Orchestral Series Vol. 6,2011-03-17,14,https://i.scdn.co/image/ab67616d00001e02f9782ade1072520f4ffab223,https://open.spotify.com/album/4GSoSGLxNOoejAdbMbgQT7,Jo Blankenburg,https://open.spotify.com/artist/4tuiQRw9bC9HZhSFJEJ9Mz
Garador's Flight,2015-02-12T22:40:40Z,2:49,0,1,https://open.spotify.com/track/0qpmIPWHjZLqgov5wzdESA,,Elysium,2012-07-31,11,https://i.scdn.co/image/ab67616d00001e027bafc587d86b18169b9291d7,https://open.spotify.com/album/1p9h9k5lnc145zlfUsIHVX,Jo Blankenburg,https://open.spotify.com/artist/4tuiQRw9bC9HZhSFJEJ9Mz
Imperatrix Mundi,2015-02-12T22:40:35Z,2:58,10,3,https://open.spotify.com/track/0fOG6khFYwmGn3SL08SikO,,Vendetta - Position Music Orchestral Series Vol. 6,2011-03-17,14,https://i.scdn.co/image/ab67616d00001e02f9782ade1072520f4ffab223,https://open.spotify.com/album/4GSoSGLxNOoejAdbMbgQT7,Jo Blankenburg,https://open.spotify.com/artist/4tuiQRw9bC9HZhSFJEJ9Mz
Imperatrix Mundi,2015-02-12T22:38:03Z,2:59,0,1,https://open.spotify.com/track/3dyGR5W4ki3ewlos9CkLbp,,This Is Epic Music Vol. 1,2014-12-02,22,https://i.scdn.co/image/ab67616d00001e025ebfad9753d39ea36a9876d4,https://open.spotify.com/album/4LYqIOxwRmXmp5kdBIf0OP,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Emergence of Empire,2015-02-12T22:35:27Z,3:02,0,6,https://open.spotify.com/track/67d6oxD6d5ij35CJD68CVy,,Trailerhead: Saga,2010-07-20,14,https://i.scdn.co/image/ab67616d00001e022ac569af9eb25776a9dcc9e0,https://open.spotify.com/album/0rxT9eppjW9byKmzYe7ECn,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
An Epic Age,2015-02-12T22:32:54Z,2:51,0,2,https://open.spotify.com/track/5pMks94AbUYdBeIQt1LNJT,,Trailerhead,2008-07-15,15,https://i.scdn.co/image/ab67616d00001e029806d51d58e0982743edd619,https://open.spotify.com/album/1BZ1KruGoMkztNajCP6rZr,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Imperitum,2015-02-12T22:32:54Z,3:03,0,5,https://open.spotify.com/track/3SUaWgEMLgYKiL5PxPKTre,,Trailerhead,2008-07-15,15,https://i.scdn.co/image/ab67616d00001e029806d51d58e0982743edd619,https://open.spotify.com/album/1BZ1KruGoMkztNajCP6rZr,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Tales of the Electric Romeo,2015-02-12T22:30:43Z,4:01,0,3,https://open.spotify.com/track/1EHG1XCRLEVL1zLf0FmO5R,,Trailerhead: Triumph,2012-11-06,21,https://i.scdn.co/image/ab67616d00001e025cf571c96d2135d5190eed9c,https://open.spotify.com/album/6YzaFXEnGyDyxDV1hdqazI,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Serenata Immortale,2015-02-12T22:30:01Z,3:47,0,4,https://open.spotify.com/track/3osh1KkzF3tiiuFL9z69Tn,,Trailerhead,2008-07-15,15,https://i.scdn.co/image/ab67616d00001e029806d51d58e0982743edd619,https://open.spotify.com/album/1BZ1KruGoMkztNajCP6rZr,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Take Me Away,2015-02-12T22:27:50Z,4:06,0,1,https://open.spotify.com/track/5B89ogVcO7UHkWzcgkbIVX,,Epicon,2008-08-26,12,https://i.scdn.co/image/ab67616d00001e02ca858e4e99231f2c105f3d75,https://open.spotify.com/album/5Aivi1OEn8e2dZGIipIopT,Globus,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Preliator,2015-02-12T22:27:49Z,4:28,0,3,https://open.spotify.com/track/3ibxWGmihlC5Qm0LI7G8V7,,Epicon,2008-08-26,12,https://i.scdn.co/image/ab67616d00001e02ca858e4e99231f2c105f3d75,https://open.spotify.com/album/5Aivi1OEn8e2dZGIipIopT,Globus,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Europa - Single Mix,2015-02-12T22:27:48Z,3:49,0,5,https://open.spotify.com/track/6vm8673wsUGHfQAUjAiew3,,Epicon,2008-08-26,12,https://i.scdn.co/image/ab67616d00001e02ca858e4e99231f2c105f3d75,https://open.spotify.com/album/5Aivi1OEn8e2dZGIipIopT,Globus,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Lacrimosa Dominae,2015-02-12T22:27:43Z,2:30,0,3,https://open.spotify.com/track/0IXMD0dcTuJhu0QQo8a0pp,,Trailerhead,2008-07-15,15,https://i.scdn.co/image/ab67616d00001e029806d51d58e0982743edd619,https://open.spotify.com/album/1BZ1KruGoMkztNajCP6rZr,Immediate,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Aqua Vitae,2015-02-12T22:11:40Z,2:35,49,3,https://open.spotify.com/track/7xyTwfEZREkNAajaaAAZRN,https://p.scdn.co/mp3-preview/0ecb8a4274e3dccafaa33039573b7cfd5c1c6082?cid=2490920ce5574a1a9b97a3e366c39dd3,Reign of Vengeance,2011-04-19,27,https://i.scdn.co/image/ab67616d00001e02c0f1382de6fedb1e4459ef0c,https://open.spotify.com/album/3Yzb8X6vRr0uDHgmETfqMP,Future World Music,https://open.spotify.com/artist/6gmhrHojnyp0SfG4WwJgIE
Deep Heart,2015-02-12T22:05:35Z,2:59,25,5,https://open.spotify.com/track/1OMCsfNqrTEHXtnO6NO7tz,https://p.scdn.co/mp3-preview/f01ec29b7d3fac296c21d114852b195cbc3ba414?cid=2490920ce5574a1a9b97a3e366c39dd3,Phenomena,2014-05-06,18,https://i.scdn.co/image/ab67616d00001e02aa313b8ea7586e44bb3d6a0e,https://open.spotify.com/album/1nztUKAqwyZWUeawshlYiU,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Redemption,2015-02-12T21:59:48Z,1:36,32,10,https://open.spotify.com/track/02B257ESviaixBwhkVdGRA,https://p.scdn.co/mp3-preview/a17f5462edd9b5badf2f63abda88f0ab4da73c94?cid=2490920ce5574a1a9b97a3e366c39dd3,Chronicles,2012-03-23,28,https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
An Unfinished Life,2015-02-12T21:58:49Z,2:05,40,3,https://open.spotify.com/track/5KlAzJduhdzXClrMSJzsmV,https://p.scdn.co/mp3-preview/ce8f686122bf8af4efbfb08b2051deb3e981cb28?cid=2490920ce5574a1a9b97a3e366c39dd3,Tree of Life,2013-07-16,26,https://i.scdn.co/image/ab67616d00001e0292031270963b4a93d26204fe,https://open.spotify.com/album/3XWmEVHHR0SAufYQbmIhXX,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
