name,followers,popularity,genres,image_url,external_url
Audiomachine,181477,63,"['epicore', 'scorecore', 'video game music']",https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Thomas Bergersen,170177,70,"['epicore', 'soundtrack', 'video game music']",https://i.scdn.co/image/9cc2b715294ec21bebc2629a257d302b98ec9ba6,https://open.spotify.com/artist/6BF0bXbsdujMSMeFZBGcBq
Armen Hambar,1438,30,['epicore'],,https://open.spotify.com/artist/3EMv84Jw9Quywvb5hDd2Yk
City of the Fallen,10835,33,['epicore'],https://i.scdn.co/image/ab67616d00001e02f9625407ba8c70507d254acf,https://open.spotify.com/artist/2Y6yi5MrD1GR14YM8qNCjw
Music Junkies,5651,30,['epicore'],https://i.scdn.co/image/ab67616d00001e0202d273d1c2cdccaf5de0a798,https://open.spotify.com/artist/243alh1KgKJ2UsnjBHDRDs
Antti Martikainen,37187,49,['epicore'],https://i.scdn.co/image/0d0b0bce75a7a2e7eb737f9a7e1903ae21017713,https://open.spotify.com/artist/5GETpZjqNPFTHpVOousGeo
Immediate,45163,50,"['epicore', 'scorecore', 'soundtrack', 'video game music']",https://i.scdn.co/image/ab67616d00001e02de9bcf502111e928c25c15a3,https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM
Sound Adventures,13197,43,"['epicore', 'scorecore']",https://i.scdn.co/image/30a3985cfb907907a11340545ac37e01858af6b6,https://open.spotify.com/artist/0YdXfou4dLC8zsOn85D1GL
Erik Ekholm,14040,44,"['epicore', 'scorecore', 'video game music']",https://i.scdn.co/image/4c920bcedd31e4916fbeb660ed447531ea10bee4,https://open.spotify.com/artist/2ILC8RBzrhyAE3MPfBe9sQ
Globus,31382,44,"['bow pop', 'epicore']",https://i.scdn.co/image/ab67616d00001e02a725d1d75debf5db282e100c,https://open.spotify.com/artist/2SrDoQLTZqsVi8Vg1UdHao
Really Slow Motion,60020,54,['epicore'],https://i.scdn.co/image/3fbb42020d7db3e67c335d9075e6ac25897d6ec1,https://open.spotify.com/artist/4dDb2XLONSNrTrucRcoaYM
Epic Score,56391,54,['epicore'],https://i.scdn.co/image/ab67616d00001e02091d5bfaa6aaf8e8051cc6f2,https://open.spotify.com/artist/4Kyb02r7dR3H1PH7pYkb8X
Mark Petrie,13637,46,['epicore'],https://i.scdn.co/image/ab67616d00001e02273d46adbdab5858106485d2,https://open.spotify.com/artist/1JmpYoOoDOGPw3uUyqj9m6
Nick Phoenix,15252,56,"['epicore', 'scorecore', 'video game music']",https://i.scdn.co/image/ab67616d00001e02b39c2cbabff56ac3c55b6f4e,https://open.spotify.com/artist/3EvzCyNmY3kbUkMawjsndF
